,orig vs orig_pred,orig vs patched,orig_pred vs patched
10,0.619917987078,0.589285162178,0.997030956287
20,0.619917987078,0.594051005958,0.99652328776
30,0.619917987078,0.595008990564,0.994748944287
40,0.619917987078,0.60204815009,0.99593564933
50,0.619917987078,0.60518453025,0.998519542787
60,0.619917987078,0.611911327348,0.997524644478
70,0.619917987078,0.612628572801,0.998332675761
80,0.619917987078,0.611385246206,0.996905547105
90,0.619917987078,0.601015893468,0.998288508582
